Province,Name,Contact,Email
2,Cebu City Medical Center,(032) 255-7141,cebucitymedicalcenterofficial@yahoo.com
2,Toledo City General Hospital,(032) 322-5881,tcgh.gov@gmail.com
2,Cebu Provincial Hospital (Danao City),(032) 262-0823,ddhospital1960@yahoo.com
2,Cebu Provincial Hospital (Carcar City),,cphcarcar@yahoo.com
2,Isidro Kintanar Memorial Hospital (Argao),(032) 485-8599,isidrockmh2017@gmail.com
2,Pnp Station Hospital,(032) 233-5614,pnphs_07@yahoo.com
2,Severo Verallo Memorial District Hospital (Bogo),(032) 251-2332,
2,Cebu Provincial Hospital (Balamban),(032) 333-2273,provincialhospital.balamban@gmail.com
2,Lapu-Lapu City Hospital,(032) 340-0248,lapulapuhospital@yahoo.com / yobyax03@yahoo.com
2,Brigadier General Benito N. Ebuen Air Base Hospital,(032) 261 - 3010,bgbneab.hospital@yahoo.com
2,Minglanilla District Hospital,(032) 490-0900,minglanilladistricthospital@gmail.com
2,Guba Community Hospital,,
2,Badian District Hospital,(032) 475-5592,badiandisthosp@yahoo.com
2,Dr. Jose Ma. Borromeo Memorial Hospital (Pinamungajan),(032) 468-9239,jose_borromeo@yahoo.com
2,Tuburan District Hospital,(032) 463-5870,tuburandistricthospital@yahoo.com
2,Mariano Jesus Cuenco Memorial Hospital (Malabuyoc),(032) 477-8883,mjcuencomemhosp@yahoo.com
2,Bantayan District Hospital,(032) 460-9330 / 460-9331,bantayandistricthospital@yahoo.com
2,Mandaue City Hospital,(032) 345-9739,mcityhospital@yahoo.com
2,Saint Anthony Mother And Child Hospital,(032) 261-9989,saintanthonymch@yahoo.com
2,Ricardo L. Maningo Memorial Hospital (Camotes),(032) 514 3327,
2,Camp Lapulapu Army Station Hospital,(032) 233-9942,centcomhosp@yahoo.com
2,Juan B. Dosado Memorial Hospital (Sogod),(032) 431-9080,JBDMHOSPITAL@YAHOO.COM
2,Talisay District Hospital,(032) 273-3226,agosjrsurgeon@gmail.com
2,Vicente Sotto Memorial Medical Center,(032) 253-9891,vsmmc_1911@yahoo.com
2,Eversley Childs Sanitarium,(032)346-2468,ecschdcv@yahoo.com
2,Barili District Hospital,(032) 470-9026,barilidistricthospitalbarili@yahoo.com
2,Daanbantayan District Hospital,(032) 437-5525,
2,Oslob District Hospital,(032) 481-9985,oslobdh@yahoo.com
2,Santa Rosa Community Hospital,(032) 492-6033,
1,Gov. Celestino Gallares Memorial Hospital,(038) 412-3181,GCGMH_BOHOL@YAHOO.COM.PH
1,Calape Mother And Child Hospital,(038) 507-8050,
1,Catigbian District Hospital,(038) 416-0198,cadishosp@yahoo.com.ph
1,Don Emilio Del Valle Memorial Hospital,(038) 518-8301,devh_ubay@yahoo.com
1,Cong. Simeon G. Toribio Memorial Hospital (Carmen),(038) 525-9081; 525-9080; 525-9086,carmenhospital68@yahoo.com
1,Francisco Dagohoy Municipal Hospital (Inabanga),(038) 512-9013,fdmh85@yahoo.com
1,President Carlos P. Garcia Municipal Hospital,,pcpgmh1992@gmail.com
1,San Miguel Hospital,(038)520-3016,sanmiguelhosp2009@yahoo.com.ph
1,Clarin Community Hospital,(038) 509-9071,community.clarin@yahoo.com
1,Candijay Community Hospital,(038) 510-8292,candijayhospital@yahoo.com
1,Maribojoc Community Hospital,(038) 504-9621,mch_bohol@yahoo.com
1,Dimiao Municipal Infirmary,(038)536-1031,
1,Tubigon Community Hospital,(038) 508-8404,tubigoncommunityhospital@yahoo.com
1,Congressman Natalio P. Castillo Senior Memorial Hospital (Loon),(038) 505-9246,cncmh_loon@yahoo.com.ph
1,Garcia Memorial Provincial Hospital,(038) 515-0456,gmph.bohol2012@gmail.com / yadz357@gmail.com
1,Teodoro B. Galagar District Hospital,(038) 531-8107,tbgdh10@yahoo.com
4,Lazi Medicare Community Hospital,9154704198,
4,Siquijor Provincial Hospital,(035) 480-9242,siquijor.hospital@yahoo.com
3,Amio Community Primary Hospital,(035)199-5463,amiocommunityprimaryhospital@yahoo.com
3,Bais District Hospital,(035)402-8317,hosp.bais@gmail.com
3,Bayawan District Hospital,(035)4300156,bdh_stabayabas@yahoo.com
3,Bindoy District Hospital,(035)2552879,bindoydistrict_hospital@yahoo.com
3,Canlaon District Hospital,(035)414-0081,canlaondistricthospital@gmail.com
3,Cong. Lamberto L. Macias Memorial Hospital,,cllmmh@yahoo.com
3,Dawis Primary Community Hospital,,jardiniano008@gmail.com / dawiscph@gmail.com
3,Gov. William (Billy) Villegas Memorial Hospital,,gwilliamvillegas_memhosp@yahoo.com
3,Inapoy Community Primary Hospital,(035)409-4020,icph_negros97@yahoo.com
3,Kalumboyan Community Primary Hospital,(035)531-0169,
3,Luz-Sikatuna Community Primary Hospital,,cph99@gmail.com
3,Mabinay Medicare Community Hospital,,medicare_hospital@yahoo.com
3,Nabilog Community Primary Hospital,,nabilog.cph@gmail.com
3,Negros Oriental Provincial Hospital,,negor.provincialhospital@gmail.com
3,Pacuan Community Primary Hospital,,
